Equations,Slope,Intercept,Equation ID,x (Thickness),y (Thermal Conductivity Profile),Tdelay,ModelRatio
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,1135.325362,1.225087
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,1135.325362,1.225087
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,1206.419499,1.21303
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,1206.419499,1.21303
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,1206.419499,1.21303
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,1206.419499,1.21303
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,1206.419499,1.21303
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,1281.965555,1.200945
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,1281.965555,1.200945
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,1281.965555,1.200945
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,1281.965555,1.200945
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,1281.965555,1.200945
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,1362.24231,1.188287
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,1362.24231,1.188287
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,1362.24231,1.188287
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,1362.24231,1.188287
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,1362.24231,1.188287
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,1447.546,1.174931
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,1447.546,1.174931
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,1447.546,1.174931
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,1447.546,1.174931
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,1447.546,1.174931
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,1538.191411,1.161499
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,1538.191411,1.161499
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,1538.191411,1.161499
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,1538.191411,1.161499
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,1538.191411,1.161499
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,1634.513043,1.147958
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,1634.513043,1.147958
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,1634.513043,1.147958
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,1634.513043,1.147958
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,1634.513043,1.147958
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,1736.866341,1.133593
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,1736.866341,1.133593
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,1736.866341,1.133593
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,1736.866341,1.133593
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,1736.866341,1.133593
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,1845.629008,1.119169
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,1845.629008,1.119169
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,1845.629008,1.119169
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,1845.629008,1.119169
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,1845.629008,1.119169
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,1961.202399,1.104367
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,1961.202399,1.104367
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,1961.202399,1.104367
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,1961.202399,1.104367
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,1961.202399,1.104367
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,2084.013003,1.089199
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,2084.013003,1.089199
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,2084.013003,1.089199
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,2084.013003,1.089199
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,2084.013003,1.089199
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,2214.514014,1.073631
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,2214.514014,1.073631
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,2214.514014,1.073631
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,2214.514014,1.073631
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,2214.514014,1.073631
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,2353.187005,1.057836
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,2353.187005,1.057836
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,2353.187005,1.057836
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,2353.187005,1.057836
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,2353.187005,1.057836
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,2500.543706,1.041606
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,2500.543706,1.041606
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,2500.543706,1.041606
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,2500.543706,1.041606
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,2500.543706,1.041606
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,2657.127893,1.025071
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,2657.127893,1.025071
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,2657.127893,1.025071
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,2657.127893,1.025071
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,2657.127893,1.025071
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,2823.517389,1.008567
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,2823.517389,1.008567
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,2823.517389,1.008567
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,2823.517389,1.008567
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,2823.517389,1.008567
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,3000.326206,0.991578
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,3000.326206,0.991578
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,3000.326206,0.991578
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,3000.326206,0.991578
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,400,0.54,3000.326206,0.991578
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,80,4.348,3188.2068,0.974341
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,160,3.396,3188.2068,0.974341
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,240,2.444,3188.2068,0.974341
y = -0.0119x + 5.3,-0.011899999999999999,5.3,1023,320,1.492,3188.2068,0.974341
